time,mean_precipitation_rate,sur_air_temp,H2O_vapor_mass_ratio_surf,cloud_temp,surf_temp
2020-12-04,5.25999975,3.5374999,3.76953125,-32.0250015,4.4124999
2020-12-05,0.49999997,3.5374999,3.76953125,-9.89999962,4.4124999
2020-12-06,0.799999952,3.5374999,3.76953125,-10.2124996,-7.2125001
2020-12-07,0.0,3.5374999,3.76953125,-8.21249962,-7.2125001
2020-12-08,0.179999992,3.5374999,3.76953125,-8.21249962,0.537500024
2020-12-09,0.215000004,0.224999994,3.8125,-16.3374996,-7.6500001
2020-12-10,0.0,0.662500024,3.8125,-5.0250001,0.349999994
2020-12-11,0.0,9.41250038,5.80859375,-39.1187515,9.03750038
2020-12-12,1.29499996,9.41250038,5.80859375,-23.8374996,9.03750038
2020-12-13,0.0199999996,9.41250038,5.80859375,-9.71249962,9.03750038
2020-12-14,0.0,9.41250038,5.80859375,-23.3062496,9.03750038
2020-12-15,0.0,-1.27499998,2.51757812,-23.8999996,1.60000002
2020-12-16,0.0899999961,-1.27499998,2.51757812,-23.8999996,1.60000002
2020-12-17,2.03499985,-3.6500001,2.24414062,-15.3374996,-0.275000006
2020-12-18,0.0,0.537500024,2.22070312,-2.2750001,-1.33749998
2020-12-19,0.38499999,0.537500024,2.22070312,-32.4000015,-5.7750001
2020-12-20,3.78499961,-1.52499998,3.65820312,-23.8062496,-10.5249996
2020-12-21,0.0,1.47500002,2.95898438,-11.7749996,4.3499999
2020-12-22,0.0,3.2874999,3.12109375,-13.2749996,2.5374999
2020-12-23,0.0799999982,5.9749999,4.10546875,-39.4000015,2.5374999
2020-12-24,26.2149982,5.9749999,4.10546875,-48.0875015,2.5374999
2020-12-25,79.7699966,5.9749999,4.10546875,-39.0875015,2.5374999
2020-12-26,0.0,5.9749999,4.10546875,-25.5874996,2.5374999
2020-12-27,0.0,1.16250002,3.4609375,-28.7437496,-6.1500001
2020-12-28,1.15999997,1.16250002,3.4609375,-9.64999962,-6.1500001
2020-12-29,0.0,-3.5875001,1.86328125,-14.0874996,-0.400000006
2020-12-30,9.34999943,8.28750038,5.30859375,-42.9625015,3.1624999
2020-12-31,1.7349999,4.0374999,3.5703125,-33.4312515,8.78750038
2021-01-01,5.77499962,4.0374999,3.5703125,-33.4312515,8.78750038
2021-01-02,15.0849991,2.9749999,3.95898438,-4.5250001,1.91250002
2021-01-03,1.4749999,1.22500002,4.1875,-30.2437496,-12.5874996
2021-01-04,0.0,-0.462500006,4.1875,-30.2437496,-5.9000001
2021-01-05,0.0,-1.46249998,4.09765625,-14.9624996,-10.6499996
2021-01-06,0.0,1.85000002,4.34765625,-13.5249996,-3.9000001
2021-01-07,1.72000003,1.85000002,4.34765625,-13.5249996,-10.9624996
