time, AIRS3STD_7_0_H2O_MMR_A
2021-07-02,-9999.0
2021-07-03,-9999.0
2021-07-04,-9999.0
2021-07-05,-9999.0
2021-07-06,15.8984375
2021-07-07,-9999.0
2021-07-08,13.78125
2021-07-09,-9999.0
2021-07-10,-9999.0
2021-07-11,-9999.0
2021-07-12,-9999.0
2021-07-13,15.984375
2021-07-14,-9999.0
2021-07-15,-9999.0
2021-07-16,-9999.0
2021-07-17,-9999.0
2021-07-18,12.0859375
2021-07-19,12.4609375
2021-07-20,-9999.0
2021-07-21,9.7890625
2021-07-22,10.0
2021-07-23,9.8203125
2021-07-24,-9999.0
2021-07-25,-9999.0
2021-07-26,-9999.0
2021-07-27,-9999.0
2021-07-28,-9999.0
2021-07-29,-9999.0
2021-07-30,8.8359375
2021-07-31,9.8359375
2021-08-01,-9999.0
2021-08-02,8.3125
2021-08-03,10.875
2021-08-04,-9999.0
2021-08-05,12.3671875
2021-08-06,11.6953125
2021-08-07,14.0078125
2021-08-08,-9999.0
2021-08-09,14.2109375
2021-08-10,17.28125
2021-08-11,16.453125
2021-08-12,-9999.0
2021-08-13,-9999.0
2021-08-14,10.578125
2021-08-15,9.1953125
2021-08-16,11.21875
2021-08-17,16.671875
2021-08-18,-9999.0
2021-08-19,13.6953125
2021-08-20,14.7890625
2021-08-21,16.453125
2021-08-22,-9999.0
2021-08-23,16.234375
2021-08-24,12.4296875
2021-08-25,15.671875
2021-08-26,16.875
2021-08-27,13.8203125
2021-08-28,15.578125
2021-08-29,-9999.0
2021-08-30,-9999.0
2021-08-31,-9999.0
2021-09-01,-9999.0
2021-09-02,-9999.0
2021-09-03,9.0546875
2021-09-04,10.640625
2021-09-05,-9999.0
2021-09-06,-9999.0
2021-09-07,-9999.0
2021-09-08,-9999.0
2021-09-09,-9999.0
2021-09-10,9.046875
2021-09-11,11.0234375
2021-09-12,-9999.0
2021-09-13,10.5625
2021-09-14,-9999.0
2021-09-15,-9999.0
2021-09-16,9.28125
2021-09-17,13.4453125
2021-09-18,-9999.0
2021-09-19,7.953125
2021-09-20,10.65625
2021-09-21,-9999.0
2021-09-22,-9999.0
2021-09-23,-9999.0
2021-09-24,8.4375
2021-09-25,-9999.0
2021-09-26,8.5078125
2021-09-27,-9999.0
2021-09-28,-9999.0
2021-09-29,7.91015625
2021-09-30,-9999.0
2021-10-01,7.7265625
2021-10-02,10.8046875
2021-10-03,-9999.0
2021-10-04,9.4609375
2021-10-05,10.1328125
2021-10-06,9.9375
2021-10-07,-9999.0
2021-10-08,10.390625
2021-10-09,-9999.0
2021-10-10,11.7578125
2021-10-11,11.375
2021-10-12,12.2734375
2021-10-13,-9999.0
2021-10-14,11.90625
2021-10-15,-9999.0
2021-10-16,-9999.0
2021-10-17,-9999.0
2021-10-18,-9999.0
2021-10-19,7.9453125
2021-10-20,8.6171875
2021-10-21,-9999.0
2021-10-22,-9999.0
2021-10-23,-9999.0
2021-10-24,6.9609375
2021-10-25,-9999.0
2021-10-26,-9999.0
2021-10-27,7.23046875
2021-10-28,7.70703125
2021-10-29,-9999.0
2021-10-30,-9999.0
2021-10-31,-9999.0
2021-11-01,-9999.0
2021-11-02,5.15234375
2021-11-03,3.83203125
2021-11-04,4.15234375
2021-11-05,-9999.0
2021-11-06,5.08984375
2021-11-07,-9999.0
2021-11-08,7.05078125
2021-11-09,6.75
2021-11-10,-9999.0
2021-11-11,6.578125
2021-11-12,-9999.0
2021-11-13,-9999.0
2021-11-14,-9999.0
2021-11-15,-9999.0
2021-11-16,-9999.0
2021-11-17,-9999.0
2021-11-18,-9999.0
2021-11-19,-9999.0
2021-11-20,4.96484375
2021-11-21,-9999.0
2021-11-22,-9999.0
2021-11-23,2.53515625
2021-11-24,5.67578125
2021-11-25,6.81640625
2021-11-26,-9999.0
2021-11-27,-9999.0
2021-11-28,-9999.0
2021-11-29,2.59179688
2021-11-30,-9999.0
2021-12-01,-9999.0
