time, AIRS3STD_7_0_SurfAirTemp_A
2022-01-31,-1.14999998
2022-02-01,0.100000001
2022-02-02,6.5374999
2022-02-03,-9999.0
2022-02-04,-2.1500001
2022-02-05,-9999.0
2022-02-06,-3.7750001
2022-02-07,2.5999999
2022-02-08,0.412499994
2022-02-09,-9999.0
2022-02-10,2.2874999
2022-02-11,3.5374999
2022-02-12,-0.212500006
2022-02-13,-5.6500001
2022-02-14,-7.4000001
2022-02-15,-4.1500001
2022-02-16,5.4124999
2022-02-17,-9999.0
2022-02-18,-3.4625001
2022-02-19,-9999.0
2022-02-20,0.0375000015
2022-02-21,-9999.0
2022-02-22,-9999.0
2022-02-23,-9999.0
2022-02-24,-1.58749998
2022-02-25,-3.5875001
2022-02-26,-1.52499998
2022-02-27,1.03750002
2022-02-28,-5.7750001
2022-03-01,1.72500002
2022-03-02,2.5374999
2022-03-03,-3.2750001
2022-03-04,-0.962499976
2022-03-05,-9999.0
2022-03-06,13.2250004
2022-03-07,-9999.0
2022-03-08,2.1624999
2022-03-09,-9999.0
2022-03-10,3.9749999
2022-03-11,5.5999999
2022-03-12,-9999.0
2022-03-13,-2.7750001
2022-03-14,8.22500038
2022-03-15,-9999.0
2022-03-16,8.72500038
2022-03-17,13.7875004
2022-03-18,14.3500004
2022-03-19,15.7875004
2022-03-20,5.9124999
2022-03-21,5.2874999
2022-03-22,6.7874999
2022-03-23,-9999.0
2022-03-24,8.66250038
2022-03-25,-9999.0
2022-03-26,3.1624999
2022-03-27,-1.33749998
2022-03-28,-4.2750001
2022-03-29,0.725000024
2022-03-30,-9999.0
2022-03-31,-9999.0
2022-04-13,-9999.0
2022-04-14,-9999.0
2022-04-15,-9999.0
2022-04-16,7.2249999
2022-04-17,-9999.0
2022-04-18,-9999.0
2022-04-19,-9999.0
2022-04-20,7.6624999
2022-04-21,-9999.0
2022-04-22,11.8500004
2022-04-23,-9999.0
2022-04-24,23.3500004
2022-04-25,21.9125004
2022-04-26,-9999.0
2022-04-27,4.4749999
2022-04-28,5.5374999
2022-04-29,-9999.0
2022-04-30,-9999.0
2022-05-01,-9999.0
