time,mean_precipitation_rate,sur_air_temp,relative_humidity,albedo_500,H2O_vapor_mass_ratio,H2O_vapor_mass_ratio_surf,cloud_temp,surf_temp
2020-05-27,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-40.5250015,26.7875004
2020-05-28,0.810000062,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-21.1187496,14.3500004
2020-05-29,13.710001,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-28.8062496,24.9750004
2020-05-30,1.38999999,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-11.6499996,24.2250004
2020-05-31,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-20.4937496,9.16250038
2020-06-01,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-13.5249996,15.6625004
2020-06-02,1.75,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,3.0999999,-9999.0
2020-06-03,1.48999989,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-14.8999996,26.1000004
2020-06-04,0.0,24.2250004,-9999.0,-1.267651e+30,-9999.0,9.40625,-11.0249996,26.5375004
2020-06-05,2.80500007,-9999.0,-9999.0,0.945599973,-9999.0,-9999.0,-9.89999962,28.6625004
2020-06-06,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-3.9000001,23.6625004
2020-06-07,0.0,-9999.0,-9999.0,0.904999971,-9999.0,-9999.0,-9999.0,-9999.0
2020-06-08,0.430000007,15.4125004,77.0,0.921199977,7.8828125,8.1328125,-40.5562515,18.6000004
2020-06-09,0.0,22.9125004,95.0,0.980000019,14.1875,13.03125,5.2874999,28.3500004
2020-06-10,1.68499994,26.7875004,-9999.0,0.94690001,-9999.0,15.4296875,7.2249999,26.9750004
2020-06-11,0.644999981,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-8.58749962,24.7250004
2020-06-12,0.0,-9999.0,-9999.0,0.91170001,-9999.0,-9999.0,-12.5249996,16.6625004
2020-06-13,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-6.2125001,19.4750004
2020-06-14,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-5.6500001,14.9750004
2020-06-15,0.0,20.9750004,42.5,-1.267651e+30,6.71484375,6.796875,-2.0875001,25.0375004
2020-06-16,0.0,-9999.0,-9999.0,0.899299979,-9999.0,-9999.0,17.6000004,24.4125004
2020-06-17,0.0,-9999.0,-9999.0,0.92839998,-9999.0,-9999.0,8.10000038,23.9125004
2020-06-18,0.920000017,26.4125004,-9999.0,0.878199995,-9999.0,9.8359375,7.2249999,29.6625004
2020-06-19,0.0,23.6625004,-9999.0,0.917100012,-9999.0,11.484375,14.4750004,26.2250004
2020-06-20,0.479999989,26.4750004,-9999.0,-1.267651e+30,-9999.0,12.828125,19.1000004,31.4750004
2020-06-21,0.0,-9999.0,-9999.0,0.956399977,-9999.0,-9999.0,21.4750004,28.2875004
2020-06-22,2.45500016,27.6625004,-9999.0,-1.267651e+30,-9999.0,12.390625,-19.0562496,36.9749985
2020-06-23,0.504999995,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-06-24,9.47000027,16.2250004,-9999.0,0.930100024,-9999.0,9.4765625,-1.02499998,25.7875004
2020-06-25,2.75500011,-9999.0,-9999.0,0.93690002,-9999.0,-9999.0,4.4749999,24.7250004
2020-06-26,0.275000006,22.8500004,70.0,0.917699993,10.421875,8.46875,7.7874999,26.1000004
2020-06-27,20.0299969,20.1000004,-9999.0,-1.267651e+30,-9999.0,13.4921875,10.8500004,24.2875004
2020-06-28,8.60499954,21.7250004,-9999.0,0.970799983,-9999.0,13.0546875,1.72500002,23.6625004
2020-06-29,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-12.5874996,27.7875004
2020-06-30,0.61500001,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-7.7125001,14.6000004
2020-07-01,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-07-02,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,0.787500024,26.7250004
2020-07-03,0.0899999961,-9999.0,-9999.0,0.959999979,-9999.0,-9999.0,-0.524999976,27.9125004
2020-07-04,0.0,24.2875004,-9999.0,0.913699985,-9999.0,8.0625,22.4750004,29.2250004
2020-07-05,0.0,26.2875004,75.0,0.956700027,15.4609375,12.96875,-19.4624996,29.7250004
2020-07-06,0.129999995,25.9750004,69.5,-1.267651e+30,14.71875,13.484375,13.7875004,30.9125004
2020-07-07,0.0,26.6625004,78.5,-1.267651e+30,17.8125,15.96875,9.10000038,28.6625004
2020-07-08,0.349999994,27.4750004,84.0,-1.267651e+30,16.140625,15.390625,1.91250002,30.7250004
2020-07-09,0.0,-9999.0,-9999.0,0.983299971,-9999.0,-9999.0,-9999.0,-9999.0
2020-07-10,0.63499999,27.9750004,-9999.0,0.948899984,-9999.0,16.03125,-41.1500015,27.2250004
2020-07-11,23.6899967,24.2250004,-9999.0,-1.267651e+30,-9999.0,15.5859375,-23.9624996,26.2875004
2020-07-12,32.4649925,21.7875004,-9999.0,0.948899984,-9999.0,11.875,-19.8687496,25.6625004
2020-07-13,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-8.52499962,22.3500004
2020-07-14,0.0,22.2875004,69.5,0.975700021,11.859375,12.0859375,6.2249999,25.2250004
2020-07-15,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-30.0249996,28.6625004
2020-07-16,16.8649998,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-36.9000015,-9999.0
2020-07-17,16.8349991,23.1000004,75.0,-1.267651e+30,13.3125,12.9609375,17.2875004,26.5375004
2020-07-18,0.0,-9999.0,-9999.0,0.96509999,-9999.0,-9999.0,-61.4312515,24.8500004
2020-07-19,2.72000003,29.0375004,-9999.0,-1.267651e+30,-9999.0,16.390625,-50.2750015,31.7250004
2020-07-20,0.0850000009,23.4750004,78.5,0.920400023,14.5390625,13.671875,-9.96249962,26.7250004
2020-07-21,0.0,22.9125004,-9999.0,-1.267651e+30,-9999.0,11.421875,-16.7124996,27.6625004
