time, AIRS3STD_7_0_H2O_MMR_Surf_A
2021-11-03,3.9921875
2021-11-04,4.1171875
2021-11-05,-9999.0
2021-11-06,5.203125
2021-11-07,5.95703125
2021-11-08,7.26171875
2021-11-09,6.68359375
2021-11-10,-9999.0
2021-11-11,6.71484375
2021-11-12,5.12890625
2021-11-13,3.34570312
2021-11-14,4.34375
2021-11-15,3.2890625
2021-11-16,3.36914062
2021-11-17,-9999.0
2021-11-18,-9999.0
2021-11-19,-9999.0
2021-11-20,4.94140625
2021-11-21,5.09765625
2021-11-22,-9999.0
2021-11-23,2.53125
2021-11-24,5.890625
2021-11-25,6.8671875
2021-11-26,-9999.0
2021-11-27,2.95898438
2021-11-28,-9999.0
2021-11-29,2.60742188
2021-11-30,-9999.0
2021-12-01,4.41796875
2021-12-02,-9999.0
2021-12-03,-9999.0
2021-12-04,3.56640625
2021-12-05,4.04296875
2021-12-06,-9999.0
2021-12-07,-9999.0
2021-12-08,2.87304688
2021-12-09,3.5703125
2021-12-10,-9999.0
2021-12-11,-9999.0
2021-12-12,3.28710938
2021-12-13,3.80859375
2021-12-14,-9999.0
2021-12-15,-9999.0
2021-12-16,-9999.0
2021-12-17,-9999.0
2021-12-18,-9999.0
2021-12-19,-9999.0
2021-12-20,4.07421875
2021-12-21,3.53710938
2021-12-22,2.11914062
2021-12-23,1.83203125
2021-12-24,4.23046875
2021-12-25,5.0625
2021-12-26,-9999.0
2021-12-27,-9999.0
2021-12-28,-9999.0
2021-12-29,-9999.0
2021-12-30,-9999.0
2021-12-31,-9999.0
2022-01-01,-9999.0
2022-01-02,-9999.0
2022-01-03,2.68554688
2022-01-04,-9999.0
2022-01-05,4.30859375
2022-01-06,-9999.0
2022-01-07,1.79492188
2022-01-08,2.61914062
2022-01-09,-9999.0
2022-01-10,1.59765625
2022-01-11,0.81640625
2022-01-12,3.69921875
2022-01-13,-9999.0
2022-01-14,1.65429688
2022-01-15,1.72558594
2022-01-16,2.51757812
2022-01-17,-9999.0
2022-01-18,2.62890625
2022-01-19,-9999.0
2022-01-20,-9999.0
2022-01-21,1.30273438
2022-01-22,1.33691406
2022-01-23,1.66601562
2022-01-24,1.85546875
2022-01-25,2.00390625
2022-01-26,1.13671875
2022-01-27,3.27539062
2022-01-28,1.59082031
2022-01-29,1.29492188
2022-01-30,1.37695312
2022-01-31,1.859375
2022-02-01,3.09765625
2022-02-02,4.5390625
2022-02-03,-9999.0
2022-02-04,2.97070312
2022-02-05,-9999.0
2022-02-06,2.79882812
2022-02-07,2.84570312
2022-02-08,1.71777344
2022-02-09,-9999.0
2022-02-10,3.64453125
2022-02-11,3.69335938
2022-02-12,3.05273438
2022-02-13,1.75976562
2022-02-14,2.015625
2022-02-15,1.56542969
2022-02-16,5.05078125
2022-02-17,-9999.0
2022-02-18,2.45507812
2022-02-19,-9999.0
2022-02-20,3.3203125
2022-02-21,-9999.0
2022-02-22,-9999.0
2022-02-23,-9999.0
2022-02-24,2.53515625
2022-02-25,-9999.0
2022-02-26,2.515625
2022-02-27,2.94921875
2022-02-28,-9999.0
2022-03-01,3.83007812
2022-03-02,3.48242188
2022-03-03,2.0390625
2022-03-04,2.74414062
2022-03-05,-9999.0
2022-03-06,6.73046875
2022-03-07,-9999.0
2022-03-08,2.63671875
2022-03-09,-9999.0
2022-03-10,3.09179688
2022-03-11,3.8515625
2022-03-12,-9999.0
2022-03-13,2.3671875
2022-03-14,4.45703125
2022-03-15,-9999.0
2022-03-16,5.6796875
2022-03-17,6.5390625
2022-03-18,6.33203125
2022-03-19,6.5078125
2022-03-20,4.87109375
2022-03-21,3.40820312
2022-03-22,2.93554688
2022-03-23,-9999.0
2022-03-24,6.4140625
2022-03-25,-9999.0
2022-03-26,4.4609375
2022-03-27,3.57226562
2022-03-28,1.84570312
2022-03-29,2.51953125
2022-03-30,-9999.0
2022-03-31,-9999.0
2022-04-13,-9999.0
2022-04-14,-9999.0
2022-04-15,-9999.0
2022-04-16,4.08203125
2022-04-17,-9999.0
2022-04-18,-9999.0
2022-04-19,-9999.0
2022-04-20,3.62695312
2022-04-21,-9999.0
2022-04-22,4.078125
2022-04-23,-9999.0
2022-04-24,7.7890625
2022-04-25,9.6328125
2022-04-26,-9999.0
2022-04-27,3.79296875
2022-04-28,2.75976562
2022-04-29,-9999.0
2022-04-30,-9999.0
2022-05-01,-9999.0
2022-05-02,-9999.0
2022-05-03,-9999.0
2022-05-04,-9999.0
2022-05-05,-9999.0
2022-05-06,-9999.0
2022-05-07,-9999.0
2022-05-08,4.13671875
