time, OMAERUVd_003_FinalAerosolSingleScattAlb500
2021-05-03,-1.267651e+30
2021-05-04,-1.267651e+30
2021-05-05,-1.267651e+30
2021-05-06,-1.267651e+30
2021-05-07,-1.267651e+30
2021-05-08,-1.267651e+30
2021-05-09,-1.267651e+30
2021-05-10,0.940100014
2021-05-11,-1.267651e+30
2021-05-12,0.914200008
2021-05-13,0.890699983
2021-05-14,0.910700023
2021-05-15,-1.267651e+30
2021-05-16,0.952799976
2021-05-17,-1.267651e+30
2021-05-18,-1.267651e+30
2021-05-19,0.95389998
2021-05-20,-1.267651e+30
2021-05-21,0.940999985
2021-05-22,-1.267651e+30
2021-05-23,0.948599994
2021-05-24,-1.267651e+30
2021-05-25,-1.267651e+30
2021-05-26,-1.267651e+30
2021-05-27,0.924799979
2021-05-28,-1.267651e+30
2021-05-29,0.908500016
2021-05-30,-1.267651e+30
2021-05-31,-1.267651e+30
2021-06-01,0.968699992
2021-06-02,-1.267651e+30
2021-06-03,-1.267651e+30
2021-06-04,0.951699972
2021-06-05,0.917100012
2021-06-06,-1.267651e+30
2021-06-07,-1.267651e+30
2021-06-08,-1.267651e+30
2021-06-09,-1.267651e+30
2021-06-10,0.897300005
2021-06-11,-1.267651e+30
2021-06-12,0.899500012
2021-06-13,0.932399988
2021-06-14,-1.267651e+30
2021-06-15,-1.267651e+30
2021-06-16,-1.267651e+30
2021-06-17,0.861699998
2021-06-18,-1.267651e+30
2021-06-19,0.95480001
2021-06-20,0.921299994
2021-06-21,-1.267651e+30
2021-06-22,-1.267651e+30
2021-06-23,-1.267651e+30
2021-06-24,0.899600029
2021-06-25,-1.267651e+30
2021-06-26,-1.267651e+30
2021-06-27,0.963100016
2021-06-28,0.984000027
2021-06-29,0.958199978
2021-06-30,-1.267651e+30
2021-07-01,-1.267651e+30
2021-07-02,-1.267651e+30
2021-07-03,-1.267651e+30
2021-07-04,0.94599998
2021-07-05,-1.267651e+30
2021-07-06,-1.267651e+30
2021-07-07,-1.267651e+30
2021-07-08,-1.267651e+30
2021-07-09,-1.267651e+30
2021-07-10,0.95630002
2021-07-11,-1.267651e+30
2021-07-12,-1.267651e+30
2021-07-13,-1.267651e+30
2021-07-14,0.912800014
2021-07-15,0.950200021
2021-07-16,-1.267651e+30
2021-07-17,-1.267651e+30
2021-07-18,-1.267651e+30
2021-07-19,0.973100007
2021-07-20,-1.267651e+30
2021-07-21,-1.267651e+30
2021-07-22,-1.267651e+30
2021-07-23,0.950900018
2021-07-24,-1.267651e+30
2021-07-25,-1.267651e+30
2021-07-26,0.954699993
2021-07-27,-1.267651e+30
2021-07-28,0.949599981
2021-07-29,-1.267651e+30
2021-07-30,-1.267651e+30
2021-07-31,0.929199994
2021-08-01,-1.267651e+30
2021-08-02,0.958299994
2021-08-03,-1.267651e+30
2021-08-04,-1.267651e+30
2021-08-05,0.980799973
2021-08-06,-1.267651e+30
2021-08-07,-1.267651e+30
2021-08-08,-1.267651e+30
2021-08-09,-1.267651e+30
2021-08-10,-1.267651e+30
2021-08-11,-1.267651e+30
2021-08-12,-1.267651e+30
2021-08-13,-1.267651e+30
2021-08-14,0.917800009
2021-08-15,0.916599989
2021-08-16,0.935800016
2021-08-17,-1.267651e+30
2021-08-18,-1.267651e+30
2021-08-19,-1.267651e+30
2021-08-20,-1.267651e+30
2021-08-21,-1.267651e+30
2021-08-22,-1.267651e+30
2021-08-23,-1.267651e+30
2021-08-24,0.883899987
2021-08-25,-1.267651e+30
2021-08-26,-1.267651e+30
2021-08-27,-1.267651e+30
2021-08-28,-1.267651e+30
2021-08-29,-1.267651e+30
2021-08-30,0.940699995
2021-08-31,0.950999975
2021-09-01,-1.267651e+30
2021-09-02,-1.267651e+30
2021-09-03,-1.267651e+30
2021-09-04,-1.267651e+30
2021-09-05,-1.267651e+30
2021-09-06,-1.267651e+30
2021-09-07,0.925199986
2021-09-08,-1.267651e+30
2021-09-09,0.917900026
2021-09-10,0.97299999
2021-09-11,-1.267651e+30
2021-09-12,-1.267651e+30
