sur_air_temp,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,albedo_500,cloud_temp,surf_temp
27.4750004,15.390625,0.349999994,-1.267651e+30,1.91250002,30.7250004
27.4750004,15.390625,0.0,0.983299971,1.91250002,30.7250004
27.9750004,16.03125,0.63499999,0.948899984,-41.1500015,27.2250004
24.2250004,15.5859375,23.6899967,-1.267651e+30,-23.9624996,26.2875004
21.7875004,11.875,32.4649925,0.948899984,-19.8687496,25.6625004
21.7875004,11.875,0.0,-1.267651e+30,-8.52499962,22.3500004
22.2875004,12.0859375,0.0,0.975700021,6.2249999,25.2250004
22.2875004,12.0859375,0.0,-1.267651e+30,-30.0249996,28.6625004
22.2875004,12.0859375,16.8649998,-1.267651e+30,-36.9000015,28.6625004
23.1000004,12.9609375,16.8349991,-1.267651e+30,17.2875004,26.5375004
23.1000004,12.9609375,0.0,0.96509999,-61.4312515,24.8500004
29.0375004,16.390625,2.72000003,-1.267651e+30,-50.2750015,31.7250004
23.4750004,13.671875,0.0850000009,0.920400023,-9.96249962,26.7250004
22.9125004,11.421875,0.0,-1.267651e+30,-16.7124996,27.6625004
22.9125004,11.421875,5.77499962,-1.267651e+30,-20.9624996,22.1625004
22.9125004,11.421875,0.764999986,0.982800007,12.8500004,25.6625004
24.6625004,12.40625,0.0,-1.267651e+30,16.4125004,27.4750004
24.6625004,12.40625,0.0,0.929199994,16.4125004,27.4750004
23.6625004,16.609375,0.0,0.934599996,-18.2124996,28.4750004
27.9125004,17.65625,0.850000024,-1.267651e+30,-9.02499962,29.1625004
22.8500004,9.421875,11.8600006,0.902800024,-16.0874996,28.3500004
24.4125004,13.8046875,4.57499981,-1.267651e+30,-9.89999962,26.5375004
22.7875004,11.0,0.149999991,0.929400027,-19.2124996,26.7250004
23.7875004,11.1484375,0.0,-1.267651e+30,-8.39999962,28.2250004
24.5375004,10.7578125,0.0,0.956700027,-37.9312515,26.7875004
24.6000004,15.90625,4.03999996,-1.267651e+30,7.2874999,27.3500004
21.8500004,12.5546875,0.0,-1.267651e+30,-12.5249996,25.4750004
21.8500004,12.5546875,62.0049934,-1.267651e+30,-43.3687515,25.4750004
19.2250004,9.8046875,0.0299999993,-1.267651e+30,-2.6500001,24.4125004
19.6000004,9.4140625,0.0,0.910600007,-18.9312496,25.1625004
21.8500004,12.7890625,0.00499999989,-1.267651e+30,0.912500024,26.5375004
