time, AIRS3STD_7_0_SurfSkinTemp_A
2021-03-12,7.9749999
2021-03-13,1.85000002
2021-03-14,2.0999999
2021-03-15,0.349999994
2021-03-16,-4.2125001
2021-03-17,10.9125004
2021-03-18,-9999.0
2021-03-19,4.4749999
2021-03-20,10.1625004
2021-03-21,12.6000004
2021-03-22,-9999.0
2021-03-23,4.2874999
2021-03-24,6.6624999
2021-03-25,17.4125004
2021-03-26,1.72500002
2021-03-27,7.4124999
2021-03-28,3.9749999
2021-03-29,6.2249999
2021-03-30,12.9750004
2021-03-31,-9999.0
2021-04-01,-9999.0
2021-04-02,2.4749999
2021-04-03,10.6000004
2021-04-04,14.4750004
2021-04-05,12.5375004
2021-04-06,15.1000004
2021-04-07,-9999.0
2021-04-08,19.4125004
2021-04-09,9.60000038
2021-04-10,23.1625004
2021-04-11,-9999.0
2021-04-12,-9999.0
2021-04-13,19.9125004
2021-04-14,19.0375004
2021-04-15,-9999.0
2021-04-16,-8.33749962
2021-04-17,11.2250004
2021-04-18,15.1625004
2021-04-19,14.5375004
2021-04-20,-2.0875001
2021-04-21,-9999.0
2021-04-22,8.85000038
2021-04-23,-9999.0
2021-04-24,16.9750004
2021-04-25,5.5374999
2021-04-26,11.6625004
2021-04-27,22.4750004
2021-04-28,-9999.0
2021-04-29,-9999.0
2021-04-30,-9999.0
2021-05-01,14.2250004
2021-05-02,-9999.0
2021-05-03,-9999.0
2021-05-04,30.7875004
2021-05-05,-9999.0
2021-05-06,15.4125004
2021-05-07,-9999.0
2021-05-08,1.60000002
2021-05-09,-9999.0
2021-05-10,14.1000004
2021-05-11,16.8500004
2021-05-12,17.6625004
2021-05-13,19.6000004
2021-05-14,17.7875004
2021-05-15,24.5375004
2021-05-16,29.2875004
2021-05-17,21.0375004
2021-05-18,17.2875004
2021-05-19,26.4750004
2021-05-20,31.5375004
2021-05-21,25.1625004
2021-05-22,19.3500004
2021-05-23,22.2250004
2021-05-24,23.6625004
2021-05-25,-9999.0
2021-05-26,17.7875004
2021-05-27,21.1625004
2021-05-28,-9999.0
2021-05-29,17.5375004
2021-05-30,12.4750004
2021-05-31,26.4750004
2021-06-01,-9999.0
2021-06-02,23.4750004
2021-06-03,-9999.0
2021-06-04,24.9750004
2021-06-05,30.2250004
2021-06-06,26.8500004
2021-06-07,29.2875004
2021-06-08,12.7875004
2021-06-09,26.1625004
2021-06-10,-9999.0
2021-06-11,27.7875004
2021-06-12,26.6000004
2021-06-13,30.1625004
2021-06-14,21.4750004
2021-06-15,8.91250038
2021-06-16,21.4750004
2021-06-17,21.5375004
2021-06-18,14.9750004
2021-06-19,20.9125004
2021-06-20,27.4750004
2021-06-21,28.2875004
2021-06-22,-9999.0
2021-06-23,22.4750004
2021-06-24,28.8500004
2021-06-25,26.7875004
2021-06-26,-9999.0
2021-06-27,29.9750004
2021-06-28,28.7875004
2021-06-29,29.2250004
2021-06-30,25.1000004
2021-07-01,23.9750004
2021-07-02,24.7250004
2021-07-03,12.6625004
2021-07-04,25.2875004
2021-07-05,28.6625004
2021-07-06,24.6625004
2021-07-07,22.4750004
2021-07-08,18.5375004
2021-07-09,26.4750004
2021-07-10,22.3500004
2021-07-11,-9999.0
2021-07-12,-9999.0
2021-07-13,27.0375004
2021-07-14,24.9750004
2021-07-15,26.6625004
2021-07-16,-9999.0
2021-07-17,-9999.0
2021-07-18,25.2250004
2021-07-19,25.1625004
2021-07-20,26.6000004
2021-07-21,22.5375004
2021-07-22,22.9125004
2021-07-23,25.1625004
2021-07-24,20.7875004
2021-07-25,26.2875004
2021-07-26,26.7250004
2021-07-27,-9999.0
2021-07-28,-9999.0
2021-07-29,-9999.0
2021-07-30,22.1000004
2021-07-31,21.5375004
2021-08-01,20.7250004
2021-08-02,23.1625004
2021-08-03,24.6625004
2021-08-04,24.9125004
2021-08-05,26.7250004
2021-08-06,28.1625004
2021-08-07,26.6000004
2021-08-08,27.5375004
2021-08-09,29.4125004
2021-08-10,26.7875004
2021-08-11,29.8500004
