time, AIRS3STD_7_0_CloudTopTemp_A
2022-01-17,-24.9937496
2022-01-18,-14.3374996
2022-01-19,-9.08749962
2022-01-20,-9999.0
2022-01-21,-13.8999996
2022-01-22,-32.6500015
2022-01-23,-33.3062515
2022-01-24,-30.9312496
2022-01-25,-18.7437496
2022-01-26,-17.6187496
2022-01-27,-40.1500015
2022-01-28,-32.9937515
2022-01-29,-32.4625015
2022-01-30,-16.8999996
2022-01-31,-12.0249996
2022-02-01,-28.3687496
2022-02-02,-33.0875015
2022-02-03,-46.5250015
2022-02-04,-24.8687496
2022-02-05,-9999.0
2022-02-06,-6.1500001
2022-02-07,-44.2437515
2022-02-08,-16.0874996
2022-02-09,-9999.0
2022-02-10,-23.6499996
2022-02-11,-31.0562496
2022-02-12,-18.6812496
2022-02-13,-25.1812496
2022-02-14,-24.8374996
2022-02-15,-16.2749996
2022-02-16,-43.8375015
2022-02-17,-55.1812515
2022-02-18,-13.8374996
2022-02-19,-29.2749996
2022-02-20,-15.7749996
2022-02-21,-9999.0
2022-02-22,-49.3687515
2022-02-23,-12.5874996
2022-02-24,-18.3687496
2022-02-25,-14.4624996
2022-02-26,-12.9624996
2022-02-27,-27.7749996
2022-02-28,-35.2125015
2022-03-01,-38.5250015
2022-03-02,-6.5875001
2022-03-03,-22.3062496
2022-03-04,-21.0562496
2022-03-05,-9999.0
2022-03-06,-0.337500006
2022-03-07,-51.3687515
2022-03-08,-10.9624996
2022-03-09,-27.2749996
2022-03-10,-17.0249996
2022-03-11,-35.9937515
2022-03-12,-26.8062496
2022-03-13,-20.9624996
2022-03-14,-16.8374996
2022-03-15,-36.2437515
2022-03-16,-13.5249996
2022-03-17,-0.962499976
2022-03-18,1.35000002
2022-03-19,-30.0249996
2022-03-20,-19.6812496
2022-03-21,-11.2124996
2022-03-22,-26.1187496
2022-03-23,-9999.0
2022-03-24,-5.0250001
2022-03-25,-14.5249996
2022-03-26,-9.14999962
2022-03-27,-20.1187496
2022-03-28,-24.9312496
2022-03-29,-15.8374996
2022-03-30,-17.8062496
2022-03-31,-9999.0
2022-04-13,-9999.0
2022-04-14,-39.3375015
2022-04-15,-28.4937496
2022-04-16,-24.1499996
2022-04-17,-9999.0
2022-04-18,-43.6500015
2022-04-19,-20.3687496
2022-04-20,-13.0249996
2022-04-21,-13.4624996
2022-04-22,-9.46249962
2022-04-23,-24.3062496
2022-04-24,-26.9624996
2022-04-25,-13.2749996
2022-04-26,-35.6187515
2022-04-27,-11.5249996
2022-04-28,-2.8375001
2022-04-29,-8.08749962
2022-04-30,2.9749999
2022-05-01,-50.7125015
2022-05-02,-11.0874996
2022-05-03,-9999.0
2022-05-04,-21.5562496
2022-05-05,-48.1500015
2022-05-06,-44.4000015
2022-05-07,-28.3687496
2022-05-08,1.28750002
2022-05-09,8.53750038
2022-05-10,-4.7750001
2022-05-11,0.412499994
2022-05-12,-44.2750015
2022-05-13,8.53750038
2022-05-14,-28.8374996
2022-05-15,-15.7124996
2022-05-16,-9999.0
2022-05-17,-3.8375001
2022-05-18,-35.2750015
2022-05-19,-6.9625001
2022-05-20,-29.9937496
2022-05-21,-7.1500001
2022-05-22,-19.8687496
2022-05-23,-32.8687515
2022-05-24,-32.5562515
2022-05-25,-23.9312496
2022-05-26,-9999.0
2022-05-27,-23.3687496
2022-05-28,12.7875004
2022-05-29,2.1624999
2022-05-30,-0.712499976
2022-05-31,-18.3999996
2022-06-01,-47.5562515
2022-06-02,-39.7750015
2022-06-03,-8.77499962
