time,sur_air_temp,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,surf_temp,cloud_temp
2020-07-15,22.2875004,12.0859375,0.0,28.6625004,-30.0249996
2020-07-16,22.2875004,12.0859375,13.9599991,28.6625004,-36.9000015
2020-07-17,23.1000004,12.9609375,13.2399998,26.5375004,17.2875004
2020-07-18,23.1000004,12.9609375,0.0,24.8500004,-61.4312515
2020-07-19,29.0375004,16.390625,2.43999982,31.7250004,-50.2750015
2020-07-20,23.4750004,13.671875,0.0899999961,26.7250004,-9.96249962
2020-07-21,22.9125004,11.421875,0.0,27.6625004,-16.7124996
2020-07-22,22.9125004,11.421875,5.84000015,22.1625004,-20.9624996
2020-07-23,22.9125004,11.421875,0.944999933,25.6625004,12.8500004
2020-07-24,24.6625004,12.40625,0.0,27.4750004,16.4125004
2020-07-25,24.6625004,12.40625,0.0,27.4750004,16.4125004
2020-07-26,23.6625004,16.609375,0.0,28.4750004,-18.2124996
2020-07-27,27.9125004,17.65625,0.534999967,29.1625004,-9.02499962
2020-07-28,22.8500004,9.421875,9.99000072,28.3500004,-16.0874996
2020-07-29,24.4125004,13.8046875,4.95499992,26.5375004,-9.89999962
2020-07-30,22.7875004,11.0,0.159999996,26.7250004,-19.2124996
2020-07-31,23.7875004,11.1484375,0.0,28.2250004,-8.39999962
2020-08-01,24.5375004,10.7578125,0.0,26.7875004,-37.9312515
2020-08-02,24.6000004,15.90625,3.29999971,27.3500004,7.2874999
2020-08-03,21.8500004,12.5546875,0.0,25.4750004,-12.5249996
2020-08-04,21.8500004,12.5546875,68.359993,25.4750004,-43.3687515
2020-08-05,19.2250004,9.8046875,0.0,24.4125004,-2.6500001
2020-08-06,19.6000004,9.4140625,0.0,25.1625004,-18.9312496
2020-08-07,21.8500004,12.7890625,0.0299999975,26.5375004,0.912500024
2020-08-08,23.4750004,12.546875,0.0,26.8500004,4.4749999
2020-08-09,26.5375004,12.8515625,0.0,26.0375004,5.2874999
2020-08-10,26.5375004,12.8515625,0.0,26.0375004,5.2874999
2020-08-11,25.2875004,16.234375,1.55500007,26.5375004,-11.8374996
2020-08-12,23.6625004,11.6640625,0.0,28.1000004,-44.4312515
2020-08-13,24.9125004,13.2265625,0.0,28.9750004,-1.46249998
2020-08-14,24.6000004,12.28125,0.0,28.4125004,11.3500004
2020-08-15,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-08-16,24.6000004,12.28125,0.0399999991,28.7875004,-6.2750001
2020-08-17,24.6000004,12.28125,0.239999995,28.7875004,-6.2750001
2020-08-18,24.6000004,12.28125,1.21500003,28.7875004,-6.2750001
2020-08-19,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-08-20,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-08-21,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-08-22,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-08-23,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-08-24,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-08-25,24.6000004,12.28125,26.2400017,28.7875004,-6.2750001
2020-08-26,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-08-27,24.6000004,12.28125,21.3050003,28.7875004,-6.2750001
2020-08-28,24.6000004,12.28125,2.51499987,28.7875004,-6.2750001
2020-08-29,24.6000004,12.28125,4.31999969,28.7875004,-6.2750001
2020-08-30,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-08-31,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-09-01,24.6000004,12.28125,0.0,28.7875004,-6.2750001
2020-09-02,24.6000004,12.28125,3.51999998,28.7875004,-6.2750001
2020-09-03,20.2250004,11.59375,0.0,23.9750004,-39.8375015
2020-09-04,17.7875004,7.546875,0.0,22.9125004,-32.9000015
2020-09-05,17.1000004,8.859375,0.579999983,22.2875004,-14.9624996
2020-09-06,18.4750004,8.25,0.0,22.8500004,-28.1499996
2020-09-07,20.0375004,13.9609375,1.625,24.6000004,-51.6812515
2020-09-08,23.6625004,14.015625,0.0,24.8500004,-34.5250015
2020-09-09,26.2250004,14.8828125,0.0,27.4125004,21.3500004
2020-09-10,17.7250004,11.4921875,0.0,18.5375004,-1.46249998
2020-09-11,17.7250004,11.4921875,0.0,18.5375004,-1.46249998
2020-09-12,21.0375004,10.828125,0.0,23.3500004,-25.2124996
2020-09-13,22.0375004,13.1484375,10.4849997,19.8500004,-35.9937515
2020-09-14,15.0375004,6.2109375,0.0,18.9125004,-15.9624996
2020-09-15,16.6000004,7.37890625,0.0,19.8500004,-33.7750015
2020-09-16,20.9750004,8.921875,0.0,22.2250004,5.0999999
2020-09-17,17.1000004,8.625,0.0,20.6625004,5.2874999
2020-09-18,17.1000004,8.625,0.0,17.6000004,-55.7437515
2020-09-19,12.6625004,5.19921875,0.0,17.7250004,-22.4624996
2020-09-20,13.7875004,5.25390625,0.0,19.3500004,-54.9625015
2020-09-21,16.3500004,5.78125,0.0,20.7875004,9.53750038
2020-09-22,18.1000004,8.1796875,0.0,20.2250004,15.5375004
2020-09-23,17.9125004,9.484375,0.0,21.9750004,-8.02499962
2020-09-24,19.2875004,9.4765625,0.610000014,23.7875004,-32.4625015
2020-09-25,22.6000004,10.8359375,0.0,23.2875004,17.9125004
2020-09-26,20.7875004,12.0390625,0.0,26.1000004,-23.7124996
2020-09-27,20.7875004,12.0390625,0.0549999997,26.1000004,-23.7124996
2020-09-28,21.6625004,12.6796875,0.439999998,25.3500004,2.7249999
2020-09-29,21.6625004,12.6796875,13.0100002,25.3500004,-31.4937496
2020-09-30,21.6625004,12.6796875,24.6149979,14.9750004,-15.9624996
2020-10-01,12.2250004,6.9296875,0.0700000003,17.7250004,-12.5249996
2020-10-02,11.6000004,6.9609375,0.359999985,14.0375004,-6.9625001
2020-10-03,10.2875004,5.328125,0.0,16.7875004,-12.3374996
2020-10-04,10.2875004,5.328125,0.269999981,23.9125004,-15.5874996
2020-10-05,12.2875004,7.24609375,0.0,15.1625004,-3.6500001
2020-10-06,14.9125004,7.76953125,0.0,19.1000004,-2.5875001
2020-10-07,15.1000004,7.3828125,13.9249992,16.6625004,-20.1812496
2020-10-08,12.2875004,4.96484375,0.0,16.2875004,-5.9000001
2020-10-09,15.2875004,7.44140625,0.0,17.9125004,4.5374999
2020-10-10,20.6625004,10.28125,0.099999994,21.2250004,-5.9000001
2020-10-11,14.1000004,6.703125,0.0,15.9125004,-44.0562515
2020-10-12,15.5375004,10.0234375,0.5,16.4125004,7.3499999
2020-10-13,15.5375004,10.0234375,1.75499988,16.4125004,7.3499999
2020-10-14,13.2875004,6.06640625,0.0,17.2875004,-23.2749996
2020-10-15,17.2250004,8.328125,1.6400001,22.8500004,-7.0250001
2020-10-16,17.2250004,8.328125,11.7700014,22.8500004,-39.2125015
2020-10-17,10.2875004,4.171875,0.0,15.9125004,-17.7749996
2020-10-18,10.2875004,4.171875,0.239999995,15.1000004,-43.8062515
2020-10-19,10.2875004,4.171875,21.3849983,15.1000004,-52.1187515
2020-10-20,10.2875004,4.171875,8.01500034,9.03750038,-26.6499996
2020-10-21,14.9750004,4.171875,1.98500013,7.9124999,-40.9625015
2020-10-22,14.9750004,4.171875,1.42499995,8.91250038,-4.2125001
2020-10-23,19.9750004,11.6953125,0.0,22.4125004,6.2249999
2020-10-24,19.9750004,11.6953125,0.0199999996,12.4125004,-1.46249998
2020-10-25,9.72500038,5.16796875,0.0,11.9125004,-24.5249996
2020-10-26,9.72500038,5.16796875,2.01499987,11.9125004,-6.4000001
2020-10-27,9.72500038,5.16796875,3.22000027,11.9125004,-19.3687496
2020-10-28,8.97500038,6.078125,0.0,8.60000038,-1.52499998
2020-10-29,8.97500038,6.078125,19.4549999,8.60000038,-1.52499998
2020-10-30,4.9124999,3.50390625,2.02999997,9.22500038,-7.9625001
2020-10-31,8.16250038,4.01953125,0.0,11.8500004,-2.7125001
2020-11-01,8.16250038,4.01953125,3.0250001,11.8500004,-20.3999996
2020-11-02,0.474999994,3.046875,0.0,0.224999994,-24.8999996
2020-11-03,4.5374999,3.046875,1.54999971,-5.5250001,-30.8062496
2020-11-04,15.9125004,7.19140625,0.0799999982,16.1000004,-3.9625001
2020-11-05,15.9125004,7.19140625,0.0,18.2250004,-33.7125015
2020-11-06,15.9125004,7.19140625,0.0,19.1625004,-13.2749996
2020-11-07,15.9125004,7.19140625,0.0,19.9750004,-36.8687515
2020-11-08,17.2875004,6.49609375,0.0,16.7875004,12.5375004
2020-11-09,17.2875004,6.49609375,0.0,21.9125004,-21.3374996
2020-11-10,17.1000004,7.97265625,0.389999986,18.3500004,-23.3999996
2020-11-11,17.1000004,7.97265625,15.4200001,6.9749999,-23.2749996
2020-11-12,17.1000004,7.97265625,0.0199999996,10.6625004,-32.0875015
2020-11-13,9.85000038,5.3203125,0.0,11.2875004,-14.0874996
2020-11-14,9.85000038,5.3203125,0.0,11.2875004,-14.0874996
2020-11-15,9.85000038,5.3203125,7.57499981,11.2875004,-27.2749996
2020-11-16,9.85000038,5.3203125,0.099999994,11.2875004,-11.7749996
2020-11-17,-0.712499976,2.20507812,0.0149999997,-4.2750001,-26.0874996
2020-11-18,0.349999994,2.19335938,0.0,6.8499999,-12.5874996
2020-11-19,11.9750004,6.890625,0.0,9.66250038,-43.6812515
2020-11-20,11.9750004,6.890625,2.67500019,12.5375004,-21.7437496
2020-11-21,11.9750004,6.890625,0.049999997,12.5375004,-15.8999996
2020-11-22,2.3499999,6.890625,2.52499986,-10.3374996,-28.3999996
2020-11-23,2.3499999,6.890625,17.7399998,-10.3374996,-17.9937496
2020-11-24,3.5374999,2.99609375,0.0,5.4749999,-9.14999962
2020-11-25,6.3499999,5.7421875,10.1499996,1.72500002,-42.6500015
2020-11-26,5.7249999,5.7421875,18.3149986,3.2249999,-5.9000001
2020-11-27,5.7249999,5.7421875,0.0,3.2249999,-24.1812496
2020-11-28,5.7249999,5.7421875,0.0,7.8499999,-8.02499962
2020-11-29,6.8499999,4.5234375,0.0,9.91250038,-16.9624996
2020-11-30,6.8499999,4.5234375,12.8400002,9.91250038,-16.9624996
2020-12-01,6.8499999,4.5234375,0.0,9.91250038,-19.1187496
2020-12-02,6.8499999,4.5234375,0.0,-10.2124996,-20.9937496
2020-12-03,3.5374999,3.76953125,0.0,4.4124999,-16.6499996
2020-12-04,3.5374999,3.76953125,4.80499983,4.4124999,-32.0250015
2020-12-05,3.5374999,3.76953125,0.610000014,4.4124999,-9.89999962
2020-12-06,3.5374999,3.76953125,0.430000007,-7.2125001,-10.2124996
2020-12-07,3.5374999,3.76953125,0.304999977,-7.2125001,-8.21249962
2020-12-08,3.5374999,3.76953125,0.514999986,0.537500024,-8.21249962
2020-12-09,0.224999994,3.8125,0.300000012,-7.6500001,-16.3374996
2020-12-10,0.662500024,3.8125,0.0449999981,0.349999994,-5.0250001
2020-12-11,9.41250038,5.80859375,0.0,9.03750038,-39.1187515
2020-12-12,9.41250038,5.80859375,1.80499983,9.03750038,-23.8374996
2020-12-13,9.41250038,5.80859375,0.0199999996,9.03750038,-9.71249962
2020-12-14,9.41250038,5.80859375,0.0,9.03750038,-23.3062496
